Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Los Angeles Rams,53,14,1,8,1,4,296,190.7,91.2,281.9
Baltimore Ravens,39,10,2,12,0,4,303,221,108.8,329.8
Indianapolis Colts,40,15,3,10,1,6,362,241.6,90.5,332.1
Miami Dolphins,41,18,0,11,1,3,338,251.5,116.4,367.9
Pittsburgh Steelers,56,18,1,9,0,3,312,194.4,111.4,305.8
Washington Football Team,47,16,1,7,0,3,329,191.8,112.8,304.6
New Orleans Saints,45,18,1,8,1,1,337,217,93.9,310.9
Tampa Bay Buccaneers,48,15,1,10,1,1,355,246.6,80.6,327.1
Buffalo Bills,38,15,0,11,0,4,375,232.9,119.6,352.5
Kansas City Chiefs,32,16,1,6,1,4,362,236.2,122.1,358.3
New York Giants,40,11,0,11,0,2,357,237.9,111.4,349.3
Arizona Cardinals,48,11,1,10,2,0,367,226.4,125.5,351.9
New England Patriots,24,18,0,4,2,4,353,222.3,131.4,353.8
Seattle Seahawks,46,14,3,8,2,0,371,285,95.6,380.6
Cleveland Browns,38,11,2,10,3,2,419,247.6,110.8,358.4
Philadelphia Eagles,49,8,1,11,2,3,418,237.4,125.8,363.1
Chicago Bears,35,10,1,8,1,2,370,231.6,113.4,344.9
Green Bay Packers,41,11,1,7,0,2,369,221.2,112.8,334
Carolina Panthers,29,7,0,15,1,3,402,239.1,121,360.1
San Francisco 49ers,30,12,0,8,1,1,390,207.9,106.4,314.4
Dallas Cowboys,31,10,0,13,1,3,473,227.6,158.8,386.4
Denver Broncos,42,10,0,6,2,1,446,237.9,130,367.9
Atlanta Falcons,29,12,0,9,0,1,414,293.6,104.8,398.4
Los Angeles Chargers,27,12,1,7,2,2,426,223.6,119.8,343.4
Tennessee Titans,19,15,0,8,1,2,439,277.4,120.8,398.2
New York Jets,31,10,1,9,2,1,457,275.6,112,387.6
Minnesota Vikings,23,15,1,7,2,0,475,258.8,134.4,393.2
Cincinnati Bengals,17,11,0,6,0,1,424,241.2,148,389.2
Houston Texans,34,3,0,6,2,1,464,256.5,160.2,416.8
Jacksonville Jaguars,18,12,0,5,1,3,492,264.4,153.2,417.7
Detroit Lions,24,7,1,5,4,1,519,284.9,134.9,419.8
Las Vegas Raiders,21,10,0,5,2,0,478,263.2,125.8,389.1
