Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Tampa Bay Buccaneers,5,2,0,0,0,1,10,107,94,201
Pittsburgh Steelers,4,2,0,0,0,1,7,145,75,220
Arizona Cardinals,3,2,0,2,0,0,10,247,97,344
Denver Broncos,4,2,0,1,0,0,12,171,117,288
New York Giants,3,1,0,1,0,1,19,251,86,337
Miami Dolphins,3,1,0,0,0,0,0,148,115,263
Chicago Bears,4,2,0,1,0,0,16,191,112,303
New England Patriots,2,2,0,0,0,0,18,164,135,299
Detroit Lions,1,1,0,1,0,0,16,231,44,275
Atlanta Falcons,1,3,0,0,0,0,23,333,32,365
Baltimore Ravens,6,0,0,1,0,0,28,170,194,364
Houston Texans,2,1,0,1,1,0,42,338,263,601
San Francisco 49ers,0,1,0,0,1,0,16,198,113,311
New York Jets,2,2,0,0,0,0,24,192,110,302
Washington Football Team,1,1,0,0,0,0,20,108,132,240
Kansas City Chiefs,0,1,0,0,0,0,17,122,84,206
Cincinnati Bengals,1,1,0,1,0,0,31,371,59,430
Indianapolis Colts,2,1,0,0,0,0,27,300,98,398
Buffalo Bills,1,0,0,1,0,0,26,221,245,466
Minnesota Vikings,2,0,0,1,0,0,40,363,99,462
Carolina Panthers,0,1,0,0,0,0,23,198,63,261
Philadelphia Eagles,3,0,0,0,0,0,30,173,182,355
Cleveland Browns,2,0,0,0,0,0,38,148,129,277
Jacksonville Jaguars,0,1,0,0,0,0,34,223,180,403
Tennessee Titans,2,0,0,0,0,0,36,320,92,412
Dallas Cowboys,1,0,0,0,0,0,38,177,261,438
Los Angeles Rams,0,0,0,0,0,0,24,268,122,390
Green Bay Packers,0,0,0,0,0,0,38,166,158,324
