Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G
Jason Sanders,36,39,92.3,56,1,8,7,12,8,36,36,16
Younghoe Koo,37,39,94.9,54,0,10,11,8,8,33,36,15
Tyler Bass,28,34,82.4,58,1,9,6,8,4,57,59,16
Daniel Carlson,33,35,94.3,54,0,18,8,3,4,45,47,16
Greg Zuerlein,34,41,82.9,59,1,5,13,12,3,33,36,16
Rodrigo Blankenship,32,37,86.5,53,0,10,12,9,1,43,45,16
Ryan Succop,28,31,90.3,50,1,10,9,7,1,52,57,16
Justin Tucker,26,29,89.7,55,0,8,6,9,3,52,53,16
Cairo Santos,30,32,93.8,55,0,9,10,9,2,36,37,16
Jason Myers,24,24,100,61,0,2,7,13,2,49,53,16
Brandon McManus,28,34,82.4,58,0,6,4,8,10,24,27,15
Wil Lutz,23,28,82.1,53,0,5,10,7,1,57,58,16
Harrison Butker,25,27,92.6,58,2,7,9,3,4,48,54,16
Graham Gano,31,32,96.9,55,0,4,13,9,5,21,23,16
Ka'imi Fairbairn,27,31,87.1,54,0,8,9,6,4,37,40,16
Joey Slye,29,36,80.6,56,0,11,10,7,1,33,36,16
Dustin Hopkins,27,34,79.4,51,0,5,7,13,2,30,32,16
Nick Folk,26,28,92.9,51,0,6,7,11,2,30,33,16
Michael Badgley,24,33,72.7,53,0,8,6,8,2,36,39,16
Mason Crosby,16,16,100,57,1,1,5,5,4,59,63,16
Stephen Gostkowski,18,26,69.2,55,0,2,4,5,7,46,48,15
Matt Prater,21,28,75,59,0,4,7,4,6,38,41,16
Cody Parkey,19,22,86.4,46,0,5,4,10,0,43,47,15
Robbie Gould,19,23,82.6,52,0,3,5,9,2,36,38,15
Chris Boswell,19,20,95,59,0,5,6,7,1,34,38,13
Randy Bullock,21,26,80.8,55,0,3,8,7,3,24,25,12
Zane Gonzalez,16,22,72.7,56,0,4,2,8,2,38,39,12
Dan Bailey,15,22,68.2,53,0,6,3,4,2,37,43,16
Jake Elliott,14,19,73.7,54,0,1,6,5,2,24,26,16
Matt Gay,14,16,87.5,51,0,2,5,6,1,16,16,7
Sam Sloman,10,13,76.9,47,0,2,6,2,0,23,26,8
Sam Ficken,13,15,86.7,54,0,5,6,1,1,12,15,9
Aldrick Rosas,8,11,72.7,54,0,3,2,0,3,9,9,6
Sergio Castillo,8,13,61.5,55,0,1,3,2,2,6,7,6
Mike Nugent,7,8,87.5,43,0,1,4,2,0,7,7,4
Josh Lambo,5,5,100,59,0,0,2,1,2,8,10,4
Austin Seibert,6,9,66.7,48,0,0,5,1,0,8,9,5
Matthew Wright,4,4,100,46,0,1,1,2,0,7,7,3
Chase McLaughlin,4,5,80,52,0,1,1,1,1,5,6,4
Tristan Vizcaino,3,3,100,47,0,0,2,1,0,2,2,1
Kai Forbath,2,3,66.7,23,0,2,0,0,0,4,5,2
Jonathan Brown,1,2,50,31,0,0,1,0,0,1,1,1
Elliott Fry,1,1,100,23,0,1,0,0,0,1,2,1
Stephen Hauschka,0,2,0,0,0,0,0,0,0,2,2,1
Taylor Russolino,0,1,0,0,0,0,0,0,0,1,3,1
Brandon Wright,0,0,0,0,0,0,0,0,0,1,2,1
Taylor Bertolet,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Aguayo,0,0,0,0,0,0,0,0,0,0,0,0
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0
Austin MacGinnis,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ammendola,0,0,0,0,0,0,0,0,0,0,0,0
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0
JJ Molson,0,0,0,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,14
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0
Giorgio Tavecchio,0,0,0,0,0,0,0,0,0,0,0,0
Blair Walsh,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0
Ty Long,0,0,0,0,0,0,0,0,0,0,0,16
