Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G
Tyler Bass,19,25,76,58,1,4,4,6,4,29,30,10
Jason Sanders,20,21,95.2,56,0,5,3,7,5,23,23,9
Ryan Succop,20,22,90.9,50,0,6,7,6,1,30,32,10
Daniel Carlson,20,22,90.9,54,0,9,5,2,4,27,28,9
Younghoe Koo,21,22,95.5,54,0,5,6,7,3,18,21,8
Graham Gano,21,22,95.5,55,0,4,8,5,4,16,16,10
Wil Lutz,18,19,94.7,53,0,4,8,5,1,31,31,9
Brandon McManus,18,19,94.7,56,0,3,2,7,6,16,17,9
Justin Tucker,16,17,94.1,55,0,3,3,8,2,28,28,9
Randy Bullock,19,21,90.5,55,0,3,8,6,2,21,21,9
Joey Slye,20,25,80,48,0,8,6,6,0,21,23,10
Rodrigo Blankenship,19,21,90.5,44,0,5,7,7,0,23,25,9
Matt Prater,17,23,73.9,59,0,3,6,4,4,24,24,9
Zane Gonzalez,15,19,78.9,56,0,4,2,7,2,29,30,9
Harrison Butker,15,17,88.2,58,1,3,7,1,3,27,33,9
Greg Zuerlein,17,20,85,59,0,1,6,9,1,15,17,9
Cairo Santos,17,19,89.5,55,0,5,6,4,2,18,18,10
Chris Boswell,14,14,100,59,0,2,6,5,1,27,30,9
Stephen Gostkowski,12,20,60,55,0,1,3,2,6,25,27,9
Mason Crosby,12,12,100,53,1,0,5,4,2,31,32,9
Jason Myers,10,10,100,61,0,0,2,6,2,34,35,9
Michael Badgley,14,19,73.7,53,0,4,3,5,2,22,24,9
Robbie Gould,13,14,92.9,52,0,3,4,4,2,25,26,10
Nick Folk,15,17,88.2,51,0,4,4,6,1,16,18,9
Ka'imi Fairbairn,14,17,82.4,54,0,3,6,3,2,20,21,9
Cody Parkey,11,12,91.7,46,0,1,4,6,0,23,24,8
Dustin Hopkins,12,17,70.6,48,0,2,4,6,0,16,17,9
Dan Bailey,8,10,80,52,0,1,3,3,1,20,21,9
Sam Sloman,8,11,72.7,42,0,2,5,1,0,18,21,7
Jake Elliott,9,13,69.2,54,0,1,5,2,1,12,12,9
Sam Ficken,9,10,90,54,0,3,4,1,1,6,6,6
Josh Lambo,5,5,100,59,0,0,2,1,2,8,10,4
Sergio Castillo,6,7,85.7,55,0,1,2,1,2,4,4,3
Aldrick Rosas,4,5,80,50,0,1,2,0,1,1,1,1
Chase McLaughlin,2,2,100,52,0,0,1,0,1,2,2,1
Kai Forbath,2,3,66.7,23,0,2,0,0,0,4,5,2
Elliott Fry,1,1,100,23,0,1,0,0,0,1,2,1
Jonathan Brown,1,2,50,31,0,0,1,0,0,1,1,1
Stephen Hauschka,0,2,0,0,0,0,0,0,0,2,2,1
Brandon Wright,0,0,0,0,0,0,0,0,0,1,2,1
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,9
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0,0
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Bertolet,0,0,0,0,0,0,0,0,0,0,0,0
Ty Long,0,0,0,0,0,0,0,0,0,0,0,9
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0,0
Matt Gay,0,0,0,0,0,0,0,0,0,0,0,0
Austin Seibert,0,1,0,0,0,0,0,0,0,0,1,1
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0
Austin MacGinnis,0,0,0,0,0,0,0,0,0,0,0,0
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0,0
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0
Giorgio Tavecchio,0,0,0,0,0,0,0,0,0,0,0,0
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0
Brett Maher,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0
