Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA
Tyler Bass,3,3,100,58,0,0,0,0,3,3,3
Ryan Succop,4,4,100,40,0,3,0,1,0,4,5
Matt Prater,3,3,100,59,0,0,1,0,2,3,3
Zane Gonzalez,4,4,100,45,0,2,0,2,0,2,2
Daniel Carlson,3,3,100,52,0,2,0,0,1,4,4
Chris Boswell,3,3,100,45,0,0,1,2,0,3,3
Jason Sanders,3,4,75,50,0,0,1,1,1,2,2
Jason Myers,3,3,100,61,0,0,2,0,1,1,1
Rodrigo Blankenship,2,2,100,43,0,1,0,1,0,4,4
Chase McLaughlin,2,2,100,52,0,0,1,0,1,2,2
Graham Gano,2,2,100,44,0,0,1,1,0,3,3
Wil Lutz,2,2,100,49,0,1,0,1,0,3,3
Dustin Hopkins,2,3,66.7,41,0,0,1,1,0,3,3
Cairo Santos,2,2,100,42,0,1,0,1,0,1,1
Robbie Gould,2,2,100,40,0,0,1,1,0,1,1
Dan Bailey,2,2,100,43,0,0,1,1,0,1,1
Brandon McManus,2,2,100,50,0,0,1,0,1,0,0
Stephen Gostkowski,1,2,50,50,0,0,0,0,1,2,2
Joey Slye,1,1,100,46,0,0,0,1,0,2,2
Mason Crosby,1,1,100,39,0,0,1,0,0,3,3
Justin Tucker,1,1,100,24,0,1,0,0,0,2,2
Nick Folk,1,1,100,20,0,1,0,0,0,2,3
Kai Forbath,1,1,100,23,0,1,0,0,0,2,3
Cody Parkey,1,1,100,41,0,0,0,1,0,1,1
Jake Elliott,1,1,100,40,0,0,0,1,0,0,0
Randy Bullock,1,1,100,37,0,0,1,0,0,1,1
Michael Badgley,0,0,0,0,0,0,0,0,0,3,3
Ka'imi Fairbairn,0,1,0,0,0,0,0,0,0,1,1
Younghoe Koo,0,0,0,0,0,0,0,0,0,0,0
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0
Harrison Butker,0,0,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0
Sam Ficken,0,0,0,0,0,0,0,0,0,0,0
Eddy Pineiro,0,0,0,0,0,0,0,0,0,0,0
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0
Kaare Vedvik,0,0,0,0,0,0,0,0,0,0,0
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0
Taylor Bertolet,0,0,0,0,0,0,0,0,0,0,0
Ty Long,0,0,0,0,0,0,0,0,0,0,0
Josh Lambo,0,0,0,0,0,0,0,0,0,0,0
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0
Aldrick Rosas,0,0,0,0,0,0,0,0,0,0,0
Matt Gay,0,0,0,0,0,0,0,0,0,0,0
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0
Austin Seibert,0,0,0,0,0,0,0,0,0,0,0
Cameron Nizialek,0,0,0,0,0,0,0,0,0,0,0
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0
Austin MacGinnis,0,0,0,0,0,0,0,0,0,0,0
Justin Rohrwasser,0,0,0,0,0,0,0,0,0,0,0
Mike Nugent,0,0,0,0,0,0,0,0,0,0,0
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0
Zac Derr,0,0,0,0,0,0,0,0,0,0,0
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0
Jason Reda,0,0,0,0,0,0,0,0,0,0,0
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0
Giorgio Tavecchio,0,0,0,0,0,0,0,0,0,0,0
Greg Zuerlein,0,0,0,0,0,0,0,0,0,0,0
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0
Brett Maher,0,0,0,0,0,0,0,0,0,0,0
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0
