"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Rodrigo Blankenship (IND)","4","5","80.0","43","0","0","3","1","0","2","2","1","15.0","15.0","68.7%"
"2","Younghoe Koo (ATL)","3","3","100.0","52","0","1","0","0","2","0","0","1","13.0","13.0","91.3%"
"3","Stephen Gostkowski (TEN)","3","3","100.0","40","0","1","0","2","0","1","1","1","12.0","12.0","12.4%"
"4","Chris Boswell (PIT)","2","3","66.7","47","0","0","0","2","0","3","3","1","11.0","11.0","9.3%"
"5","Michael Badgley (LAC)","2","2","100.0","44","0","1","0","1","0","4","4","1","11.0","11.0","10.1%"
"6","Matt Gay (LAR)","2","3","66.7","40","0","0","1","1","0","3","3","1","10.0","10.0","22.6%"
"7","Dustin Hopkins (WAS)","2","3","66.7","50","0","0","1","0","1","2","2","1","10.0","10.0","1.8%"
"8","Jason Sanders (MIA)","2","2","100.0","53","0","0","0","1","1","1","1","1","10.0","10.0","64.9%"
"9","Joey Slye (CAR)","2","2","100.0","56","0","0","1","0","1","2","2","1","10.0","10.0","20.3%"
"10","Ka'imi Fairbairn (HOU)","2","2","100.0","46","0","0","1","1","0","3","3","1","10.0","10.0","17.0%"
"11","Justin Tucker (BAL)","3","3","100.0","30","0","2","1","0","0","1","1","1","10.0","10.0","98.0%"
"12","Nick Folk (NE)","2","2","100.0","45","0","0","1","1","0","2","2","1","9.0","9.0","7.2%"
"13","Brandon McManus (DEN)","2","2","100.0","47","0","1","0","1","0","2","2","1","9.0","9.0","28.9%"
"14","Jason Myers (SEA)","2","2","100.0","41","0","1","0","1","0","2","3","1","9.0","9.0","64.8%"
"15","Cody Parkey (CLE)","2","3","66.7","46","0","1","0","1","0","2","2","1","9.0","9.0","2.0%"
"16","Daniel Carlson (LV)","1","1","100.0","35","0","0","1","0","0","4","4","1","7.0","7.0","39.3%"
"17","Mason Crosby (GB)","1","1","100.0","26","0","1","0","0","0","4","4","1","7.0","7.0","28.6%"
"18","Wil Lutz (NO)","1","2","50.0","22","0","1","0","0","0","3","3","1","6.0","6.0","67.8%"
"19","Ryan Succop (TB)","1","1","100.0","38","0","0","1","0","0","3","3","1","6.0","6.0","39.1%"
"20","Jake Elliott (PHI)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","7.8%"
"21","Greg Zuerlein (DAL)","1","1","100.0","19","1","0","0","0","0","2","3","1","5.0","5.0","58.2%"
"22","Randy Bullock (DET)","1","3","33.3","53","0","0","0","0","1","0","1","1","5.0","5.0","2.8%"
"23","Harrison Butker (KC)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","97.9%"
"24","Dan Bailey (FA)","0","0","0","0","0","0","0","0","0","4","4","1","4.0","4.0","15.7%"
"25","Chase McLaughlin (NYJ)","1","1","100.0","41","0","0","0","1","0","0","0","1","4.0","4.0","0.4%"
"26","Zane Gonzalez (FA)","0","0","0","0","0","0","0","0","0","3","3","1","3.0","3.0","10.6%"
"27","Sam Ficken (NYJ)","0","0","0","0","0","0","0","0","0","2","4","1","2.0","2.0","0.1%"
"28","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"29","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"30","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"31","Greg Joseph (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"32","Cairo Santos (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"33","Aldrick Rosas (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"34","Roberto Aguayo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"35","Josh Lambo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"36","Michael Palardy (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.3%"
"37","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"38","Jonathan Brown (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"39","Taylor Bertolet (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"40","Brandon Wright (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"41","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Tristan Vizcaino (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"43","Elliott Fry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"44","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"45","Matthew Wright (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"46","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67.4%"
"47","JJ Molson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Matt Ammendola (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Mike Nugent (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"53","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Robbie Gould (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.6%"
"56","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Matt Prater (ARI)","0","1","0.0","0","0","0","0","0","0","0","0","1","0.0","0.0","27.7%"
"60","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Graham Gano (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.6%"
"64","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"68","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"70","Blair Walsh (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"71","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Taylor Russolino (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"76","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","-2.8","-2.8","0.7%"
""
""
