Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G
Cairo Santos,4,4,100,48,0,0,1,3,0,3,3,1
Nick Folk,4,4,100,45,0,0,1,3,0,0,0,1
Greg Zuerlein,2,3,66.7,48,0,0,0,2,0,5,5,1
Tyler Bass,2,2,100,27,0,2,0,0,0,6,6,1
Younghoe Koo,2,2,100,52,0,0,1,0,1,3,3,1
Rodrigo Blankenship,2,2,100,53,0,0,1,0,1,3,3,1
Sam Ficken,3,3,100,39,0,2,1,0,0,2,2,1
Matt Gay,2,2,100,45,0,0,0,2,0,2,2,1
Joey Slye,3,3,100,36,0,1,2,0,0,1,1,1
Robbie Gould,2,2,100,41,0,0,1,1,0,3,3,1
Jason Myers,2,2,100,43,0,0,0,2,0,2,2,1
Austin Seibert,2,3,66.7,34,0,0,2,0,0,3,3,1
Dan Bailey,2,2,100,24,0,2,0,0,0,3,3,1
Justin Tucker,1,2,50,46,0,0,0,1,0,5,5,1
Daniel Carlson,2,2,100,23,0,2,0,0,0,3,3,1
Ka'imi Fairbairn,2,2,100,31,0,1,1,0,0,2,2,1
Mason Crosby,1,1,100,51,0,0,0,0,1,3,3,1
Stephen Gostkowski,1,1,100,38,0,0,1,0,0,5,5,1
Mike Nugent,1,1,100,40,0,0,0,1,0,4,4,1
Ryan Succop,1,1,100,27,0,1,0,0,0,4,4,1
Matt Prater,1,1,100,53,0,0,0,0,1,2,3,1
Harrison Butker,1,1,100,22,0,1,0,0,0,3,3,1
Michael Badgley,1,3,33.3,22,0,1,0,0,0,3,3,1
Graham Gano,2,2,100,39,0,0,2,0,0,0,0,1
Chris Boswell,1,1,100,25,0,1,0,0,0,2,2,1
Dustin Hopkins,1,1,100,48,0,0,0,1,0,0,1,1
Wil Lutz,0,0,0,0,0,0,0,0,0,3,3,1
Jason Sanders,0,1,0,0,0,0,0,0,0,2,2,1
Jake Elliott,0,0,0,0,0,0,0,0,0,2,2,1
Aldrick Rosas,0,0,0,0,0,0,0,0,0,2,2,1
Cody Parkey,0,0,0,0,0,0,0,0,0,2,3,1
Taylor Russolino,0,1,0,0,0,0,0,0,0,1,3,1
Taylor Bertolet,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Brown,0,0,0,0,0,0,0,0,0,0,0,0
Rigoberto Sanchez,0,0,0,0,0,0,0,0,0,0,0,1
Sergio Castillo,0,0,0,0,0,0,0,0,0,0,0,0
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Aguayo,0,0,0,0,0,0,0,0,0,0,0,0
Josh Lambo,0,0,0,0,0,0,0,0,0,0,0,0
Ty Long,0,0,0,0,0,0,0,0,0,0,0,1
JJ Molson,0,0,0,0,0,0,0,0,0,0,0,0
Sam Sloman,0,0,0,0,0,0,0,0,0,0,0,0
Dominik Eberle,0,0,0,0,0,0,0,0,0,0,0,0
Tucker McCann,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ammendola,0,0,0,0,0,0,0,0,0,0,0,0
Austin MacGinnis,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Wright,0,0,0,0,0,0,0,0,0,0,0,0
Greg Joseph,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Santoso,0,0,0,0,0,0,0,0,0,0,0,0
Matt McCrane,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Vizcaino,0,0,0,0,0,0,0,0,0,0,0,0
Elliott Fry,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Wright,0,0,0,0,0,0,0,0,0,0,0,0
Chase McLaughlin,0,0,0,0,0,0,0,0,0,0,0,0
Parker Douglass,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Czech,0,0,0,0,0,0,0,0,0,0,0,0
Steven Weatherford,0,0,0,0,0,0,0,0,0,0,0,0
Zac Derr,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Schmit,0,0,0,0,0,0,0,0,0,0,0,0
Jason Reda,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Wellock,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martinez,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Rivas,0,0,0,0,0,0,0,0,0,0,0,0
MacKenzie Hoambrecker,0,0,0,0,0,0,0,0,0,0,0,0
Mark Hickok,0,0,0,0,0,0,0,0,0,0,0,0
Brandon McManus,0,0,0,0,0,0,0,0,0,0,0,0
Saverio Rocca,0,0,0,0,0,0,0,0,0,0,0,0
Giorgio Tavecchio,0,0,0,0,0,0,0,0,0,0,0,0
Randy Bullock,0,0,0,0,0,0,0,0,0,0,0,0
Blair Walsh,0,0,0,0,0,0,0,0,0,0,0,0
Kai Forbath,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Jacas,0,0,0,0,0,0,0,0,0,0,0,0
Clint Stitser,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Lindholm,0,0,0,0,0,0,0,0,0,0,0,0
Connor Hughes,0,0,0,0,0,0,0,0,0,0,0,0
