Player,FG,FGA,PCT,LG,19-Jan,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,OWN
Stephen Gostkowski,6,6,100,55,0,0,3,0,3,1,1,1,25,25,44.90%
Mason Crosby,3,3,100,52,0,0,1,1,1,4,4,1,16,16,53.20%
Joey Slye,5,5,100,31,0,3,2,0,0,0,1,1,15,15,44.60%
Matt Prater,4,4,100,39,0,1,3,0,0,2,2,1,14,14,51.20%
Jake Elliott,3,3,100,54,0,1,0,1,1,2,2,1,14,14,34.90%
Robbie Gould,3,4,75,52,0,1,1,0,1,3,3,1,14,14,77.20%
Graham Gano,3,3,100,52,0,0,0,2,1,0,0,1,13,13,19.70%
Wil Lutz,3,3,100,45,0,0,2,1,0,3,3,1,13,13,74.10%
Rodrigo Blankenship,2,3,66.7,42,0,0,0,2,0,4,4,1,12,12,82.90%
Randy Bullock,3,3,100,48,0,1,1,1,0,2,2,1,12,12,29.10%
Nick Folk,3,3,100,33,0,1,2,0,0,3,4,1,12,12,2.00%
Cody Parkey,2,2,100,42,0,0,1,1,0,4,4,1,11,11,2.70%
Greg Zuerlein,2,2,100,43,0,0,0,2,0,1,3,1,9,9,84.20%
Ryan Succop,2,2,100,43,0,0,1,1,0,2,3,1,9,9,11.00%
Justin Tucker,2,2,100,42,0,1,0,1,0,2,2,1,9,9,99.70%
Younghoe Koo,2,3,66.7,36,0,1,1,0,0,2,3,1,8,8,44.30%
Daniel Carlson,2,3,66.7,29,0,2,0,0,0,2,2,1,8,8,8.50%
Chris Boswell,2,2,100,33,0,1,1,0,0,2,2,1,8,8,39.80%
Zane Gonzalez,1,1,100,54,0,0,0,0,1,2,3,1,7,7,61.80%
Jason Sanders,1,1,100,30,0,0,1,0,0,4,4,1,7,7,59.30%
Dan Bailey,1,2,50,41,0,0,0,1,0,3,3,1,7,7,28.80%
Sam Sloman,1,2,50,30,0,0,1,0,0,3,3,1,6,6,5.50%
Brandon McManus,1,1,100,56,0,0,0,0,1,1,1,1,6,6,7.60%
Cairo Santos,1,2,50,35,0,0,1,0,0,3,3,1,6,6,0.20%
Tyler Bass,0,0,0,0,0,0,0,0,0,5,5,1,5,5,3.90%
Michael Badgley,1,1,100,41,0,0,0,1,0,1,1,1,5,5,5.90%
Harrison Butker,0,1,0,0,0,0,0,0,0,4,5,1,4,4,97.50%
Jason Myers,0,0,0,0,0,0,0,0,0,4,4,1,4,4,24.80%
Ka'imi Fairbairn,0,0,0,0,0,0,0,0,0,3,3,1,3,3,30.80%
Dustin Hopkins,0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.60%
Sam Ficken,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.30%
Brandon Wright,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.00%
Michael Palardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.30%
