Player	Att	Cmp	Yds	TD	Int	2Pt.P	Att.R	Yds.R	TD.R	2Pt.R	Rec	Yds.C	TD.C	2Pt.C	FL	TD.F
Russell Wilson	35	31	322	4	0	0	3	29	0	0	0	0	0	0	0	0
Aaron Rodgers	44	32	364	4	0	0	1	2	0	0	0	0	0	0	0	0
Lamar Jackson	25	20	275	3	0	0	7	45	0	0	0	0	0	0	0	0
Josh Allen	46	33	312	2	0	0	14	57	1	0	0	0	0	0	2	0
Mitchell Trubisky	36	20	242	3	0	0	3	26	0	0	0	0	0	0	0	0
Matt Ryan	54	37	450	2	1	0	1	-1	0	0	0	0	0	0	0	0
Kyler Murray	40	26	230	1	1	0	13	91	1	0	0	0	0	0	0	0
Ben Roethlisberger	32	21	229	3	0	0	3	9	0	0	0	0	0	0	0	0
Patrick Mahomes	32	24	211	3	0	0	0	0	0	0	0	0	0	0	0	0
Cam Newton	19	15	155	0	0	0	15	75	2	0	0	0	0	0	0	0
Gardner Minshew	20	19	173	3	0	0	5	19	0	0	0	0	0	0	0	0
Kirk Cousins	25	19	259	2	1	1	4	34	0	0	0	0	0	0	0	0
Tom Brady	36	23	239	2	2	0	3	9	1	0	0	0	0	0	0	0
Deshaun Watson	32	20	253	1	1	0	6	27	1	0	0	0	0	0	0	0
Ryan Tannehill	43	29	249	2	0	0	3	14	0	0	0	0	0	0	0	0
Jimmy Garoppolo	33	19	259	2	0	0	1	9	0	0	0	0	0	0	0	0
Daniel Jones	41	26	279	2	2	0	4	22	0	0	0	0	0	0	0	0
Teddy Bridgewater	34	22	269	1	0	1	4	26	0	0	0	0	0	0	0	0
Dak Prescott	39	25	266	1	0	0	3	30	0	0	0	0	0	0	0	0
Drew Brees	30	18	160	2	0	0	2	0	0	0	0	0	0	0	0	0
Carson Wentz	42	24	270	2	2	0	1	2	0	0	0	0	0	0	1	0
Matthew Stafford	42	24	297	1	1	0	5	23	0	0	0	0	0	0	0	0
Philip Rivers	46	36	363	1	2	0	1	3	0	0	0	0	0	0	0	0
Derek Carr	30	22	239	1	0	0	0	0	0	0	0	0	0	0	0	0
Joe Burrow	36	23	193	0	1	0	8	46	1	0	0	0	0	0	0	0
Drew Lock	33	22	216	1	0	0	3	5	0	0	0	0	0	0	0	0
Dwayne Haskins	31	17	178	1	0	0	7	17	0	0	0	0	0	0	0	0
Sam Darnold	35	21	215	1	1	0	1	6	0	0	0	0	0	0	0	0
Baker Mayfield	39	21	189	1	1	0	2	3	0	0	0	0	0	0	0	0
Jared Goff	31	20	275	0	1	0	4	15	0	0	0	0	0	0	0	0
Tyrod Taylor	30	16	208	0	0	0	6	7	0	0	0	0	0	0	0	0
Ryan Fitzpatrick	30	20	191	0	3	0	5	18	0	1	0	0	0	0	0	0
Chris Streveler	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Robert Griffin III	1	1	9	0	0	0	1	-1	0	0	0	0	0	0	0	0
Tim Boyle	0	0	0	0	0	0	2	-2	0	0	0	0	0	0	0	0
