Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Ryan Tannehill,28,21,195,3,0,0,4,42,1,0,0,0,0,0,0,0
Justin Herbert,34,20,264,4,0,0,4,8,0,0,0,0,0,0,0,0
Patrick Mahomes,43,22,340,2,1,1,6,21,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,28,22,350,3,0,0,3,16,0,0,0,0,0,0,0,0
Deshaun Watson,35,25,359,3,2,0,2,25,0,0,0,0,0,0,0,0
Russell Wilson,32,20,217,3,1,0,5,58,0,0,0,0,0,0,0,0
Derek Carr,31,22,347,3,1,0,4,1,0,0,0,0,0,0,0,0
Kyler Murray,37,27,380,1,1,0,9,31,1,0,0,0,0,0,0,0
Jared Goff,30,21,309,2,1,0,3,0,1,0,0,0,0,0,0,0
Ben Roethlisberger,34,27,239,3,0,0,2,-2,0,0,0,0,0,0,0,0
Gardner Minshew,49,31,301,2,0,0,4,18,0,0,0,0,0,0,1,0
Teddy Bridgewater,37,27,313,2,0,0,3,3,0,0,0,0,0,0,0,0
Drew Brees,47,33,325,1,1,0,1,1,1,0,0,0,0,0,0,0
Carson Wentz,35,20,258,2,2,1,4,11,0,0,0,0,0,0,0,0
Josh Allen,41,26,263,2,2,0,4,18,0,0,0,0,0,0,0,0
Baker Mayfield,37,21,247,2,2,0,2,17,0,0,0,0,0,0,0,0
Kirk Cousins,39,27,249,2,1,0,1,2,0,0,0,0,0,0,1,0
Lamar Jackson,37,19,180,2,1,0,2,3,0,0,0,0,0,0,0,0
Tom Brady,41,25,253,1,0,0,3,0,0,0,0,0,0,0,0,0
Joe Flacco,33,18,195,1,0,0,4,20,0,0,0,0,0,0,0,0
Nick Foles,42,30,243,1,1,0,1,-1,0,0,0,0,0,0,0,0
Dak Prescott,21,14,166,0,1,0,2,7,0,0,1,11,1,0,0,0
Daniel Jones,33,20,222,0,0,1,2,-7,0,0,0,0,0,0,1,0
C.J. Beathard,18,9,94,1,0,0,0,0,0,0,0,0,0,0,1,0
Kyle Allen,13,9,74,0,0,0,1,7,1,0,0,0,0,0,0,0
Matt Ryan,37,21,226,0,1,0,1,-1,0,0,0,0,0,0,0,0
Philip Rivers,33,21,243,0,2,0,1,-1,0,0,0,0,0,0,0,0
Joe Burrow,30,19,183,0,1,0,3,10,0,0,0,0,0,0,1,0
Andy Dalton,11,9,111,0,0,0,1,0,0,0,0,0,0,0,1,0
Alex Smith,17,9,37,0,0,0,1,1,0,0,0,0,0,0,0,0
Jalen Hurts,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Griffin III,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
Matt Barkley,5,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,17,7,77,0,2,0,0,0,0,0,0,0,0,0,0,0
