Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Alvin Kamara,0,0,0,0,0,0,187,932,16,0,83,756,5,0,0,0
Dalvin Cook,0,0,0,0,0,0,312,1557,16,3,44,361,1,0,3,0
Derrick Henry,0,0,0,0,0,0,378,2027,17,1,19,114,0,0,2,0
David Montgomery,0,0,0,0,0,0,247,1070,8,1,54,438,2,0,1,0
Aaron Jones,0,0,0,0,0,0,201,1104,9,0,47,355,2,0,0,0
Jonathan Taylor,0,0,0,0,0,0,232,1169,11,0,36,299,1,0,1,0
James Robinson,0,0,0,0,0,0,240,1070,7,1,49,344,3,0,1,0
Josh Jacobs,0,0,0,0,0,0,273,1065,12,0,33,238,0,0,2,0
Ezekiel Elliott,0,0,0,0,0,0,244,979,6,0,52,338,2,1,5,0
Kareem Hunt,0,0,0,0,0,0,198,841,6,0,38,304,5,0,0,0
Nick Chubb,0,0,0,0,0,0,190,1067,12,0,16,150,0,0,1,0
Mike Davis,0,0,0,0,0,0,165,642,6,0,59,373,2,0,1,0
Antonio Gibson,0,0,0,0,0,0,170,795,11,0,36,247,0,0,2,0
Melvin Gordon,0,0,0,0,0,0,215,986,9,0,32,158,1,0,4,0
D'Andre Swift,0,0,0,0,0,0,114,521,8,0,46,357,2,0,2,0
Nyheim Hines,0,0,0,0,0,0,89,380,3,1,63,482,4,0,0,0
J.D. McKissic,0,0,0,0,0,0,85,365,1,0,80,589,2,0,1,0
Kenyan Drake,0,0,0,0,0,0,239,955,10,0,25,137,0,0,1,0
Chris Carson,0,0,0,0,0,0,141,681,5,0,37,287,4,0,0,0
Ronald Jones II,0,0,0,0,0,0,192,978,7,0,28,165,1,0,2,0
David Johnson,0,0,0,0,0,0,147,691,6,0,33,314,2,0,1,0
Clyde Edwards-Helaire,0,0,0,0,0,0,181,803,4,0,36,297,1,0,0,0
Miles Sanders,0,0,0,0,0,0,164,867,6,2,28,197,0,0,2,0
J.K. Dobbins,0,0,0,0,0,0,134,805,9,1,18,120,0,1,0,0
Myles Gaskin,0,0,0,0,0,0,142,584,3,0,41,388,2,0,2,0
Austin Ekeler,0,0,0,0,0,0,116,530,1,0,54,403,2,0,0,0
James Conner,0,0,0,0,0,0,169,721,6,0,35,215,0,0,0,0
Chase Edmonds,0,0,0,0,0,0,97,448,1,0,53,402,4,0,0,0
Todd Gurley,0,0,0,0,0,0,195,678,9,0,25,164,0,0,0,0
Giovani Bernard,0,0,0,0,0,0,124,416,3,0,47,355,3,0,1,0
Jeffery Wilson,0,0,0,0,0,0,126,600,7,0,13,133,3,0,2,0
Devin Singletary,0,0,0,0,0,0,156,687,2,0,38,269,0,0,1,0
Wayne Gallman,0,0,0,0,0,0,147,682,6,0,21,114,0,0,0,0
Latavius Murray,0,0,0,0,0,0,146,656,4,0,23,176,1,0,0,0
Leonard Fournette,0,0,0,0,0,0,97,367,6,0,36,233,0,0,0,0
Gus Edwards,0,0,0,0,0,0,144,723,6,0,9,129,0,0,1,0
Darrell Henderson,0,0,0,0,0,0,138,624,5,0,16,159,1,0,0,0
Jamaal Williams,0,0,0,0,0,0,119,505,2,2,31,236,1,0,0,0
Jerick McKinnon,0,0,0,0,0,0,81,319,5,0,33,253,1,0,0,0
Adrian Peterson,0,0,0,0,0,0,156,604,7,0,12,101,0,0,0,0
Tony Pollard,0,0,0,0,0,0,101,435,4,0,28,193,1,0,0,0
James White,0,0,0,0,0,0,35,121,2,0,49,375,1,0,0,0
Rex Burkhead,0,0,0,0,0,0,67,274,3,0,25,192,3,0,0,0
Malcolm Brown,0,0,0,0,0,0,101,419,5,0,23,162,0,0,1,0
Cam Akers,0,0,0,0,0,0,145,625,2,0,11,123,1,0,1,0
Raheem Mostert,0,0,0,0,0,0,104,521,2,0,16,156,1,0,1,0
Joe Mixon,0,0,0,0,0,0,119,428,3,0,21,138,1,0,1,0
Zack Moss,0,0,0,0,0,0,112,481,4,0,14,95,1,0,0,0
Frank Gore,0,0,0,0,0,0,187,653,2,0,16,89,0,0,1,0
Damien Harris,0,0,0,0,0,0,137,691,2,0,5,52,0,0,0,0
Christian McCaffrey,0,0,0,0,0,0,59,225,5,0,17,149,1,0,0,0
Kalen Ballage,0,0,0,0,0,0,91,303,3,0,29,166,0,0,0,0
Boston Scott,0,0,0,0,0,0,80,374,1,0,25,212,1,0,0,0
Brian Hill,0,0,0,0,0,0,100,465,1,0,25,199,0,0,1,0
Alexander Mattison,0,0,0,0,0,0,96,434,2,0,13,125,1,0,0,0
Duke Johnson,0,0,0,0,0,0,77,235,1,0,28,249,1,0,2,0
Carlos Hyde,0,0,0,0,0,0,81,356,4,0,16,93,0,0,0,0
Devontae Booker,0,0,0,0,0,0,93,423,3,0,17,84,0,0,0,0
Joshua Kelley,0,0,0,0,0,0,111,354,2,0,23,148,0,0,2,0
Kyle Juszczyk,0,0,0,0,0,0,17,64,2,0,19,202,4,0,0,0
Benjamin Snell,0,0,0,0,0,0,111,368,4,0,10,61,0,0,1,0
Sony Michel,0,0,0,0,0,0,79,449,1,0,7,114,1,0,0,0
Le'Veon Bell,0,0,0,0,0,0,82,328,2,0,16,138,0,0,0,0
Salvon Ahmed,0,0,0,0,0,0,75,319,3,0,11,61,0,1,0,0
Kerryon Johnson,0,0,0,0,0,0,52,181,2,0,19,187,1,0,1,0
Phillip Lindsay,0,0,0,0,0,0,118,502,1,0,7,28,0,0,0,0
Justin Jackson,0,0,0,0,0,0,59,270,0,0,19,173,0,1,0,0
Samaje Perine,0,0,0,0,0,0,63,301,3,0,11,66,0,0,0,0
Ty Johnson,0,0,0,0,0,0,54,254,1,0,16,99,1,0,0,0
Jordan Wilkins,0,0,0,0,0,0,84,308,1,1,12,105,0,0,0,0
Dion Lewis,0,0,0,0,0,0,29,115,2,0,19,127,1,0,2,0
DeeJay Dallas,0,0,0,0,0,0,34,108,2,0,17,111,1,0,0,0
Ito Smith,0,0,0,0,0,0,63,268,1,0,17,75,0,0,0,0
Mark Ingram,0,0,0,0,0,0,72,299,2,0,6,50,0,0,0,0
Peyton Barber,0,0,0,0,0,0,94,258,4,0,4,12,0,0,0,0
Darrel Williams,0,0,0,0,0,0,39,169,1,0,18,116,0,1,0,0
Lamical Perine,0,0,0,0,0,0,64,232,2,0,11,63,0,0,0,0
Jalen Richard,0,0,0,0,0,0,22,123,1,0,19,138,0,0,0,0
Chris Thompson,0,0,0,0,0,0,7,20,0,0,20,146,1,0,0,0
Jeremy McNichols,0,0,0,0,0,0,47,204,1,0,12,55,0,0,0,0
AJ Dillon,0,0,0,0,0,0,46,242,2,0,2,21,0,0,0,0
Matt Breida,0,0,0,0,0,0,59,254,0,0,9,96,0,0,1,0
Devonta Freeman,0,0,0,0,0,0,54,172,1,0,7,58,0,0,0,0
Alfred Morris,0,0,0,0,0,0,55,238,1,0,3,19,1,0,0,0
Josh Adams,0,0,0,0,0,0,29,157,2,0,6,29,0,0,0,0
Darwin Thompson,0,0,0,0,0,0,27,97,1,0,7,65,1,0,1,0
Rodney Smith,0,0,0,0,0,0,41,156,1,0,9,59,0,0,0,0
Royce Freeman,0,0,0,0,0,0,35,170,0,0,12,81,0,0,0,0
Travis Homer,0,0,0,0,0,0,25,88,0,0,9,90,1,0,0,0
Jordan Howard,0,0,0,0,0,0,35,60,4,0,1,-3,0,0,0,0
Ameer Abdullah,0,0,0,0,0,0,8,42,0,0,8,58,2,0,0,0
Dare Ogunbowale,0,0,0,0,0,0,32,145,0,0,10,54,0,0,0,0
Alec Ingold,0,0,0,0,0,0,3,4,0,0,12,110,1,0,0,0
JaMycal Hasty,0,0,0,0,0,0,39,148,1,0,7,33,0,0,0,0
LeSean McCoy,0,0,0,0,0,0,10,31,0,0,15,101,0,0,0,0
C.J. Ham,0,0,0,0,0,0,5,18,0,0,8,97,1,0,0,0
Ke'Shawn Vaughn,0,0,0,0,0,0,26,109,0,0,5,34,1,0,1,0
Malcolm Perry,0,0,0,0,0,0,3,5,0,0,9,92,1,0,0,0
Antonio Williams,0,0,0,0,0,0,12,63,2,0,1,20,0,0,0,0
Tyler Ervin,0,0,0,0,0,0,13,67,0,0,11,84,0,0,0,0
