Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
David Montgomery,0,0,0,0,0,0,17,72,2,0,4,39,0,0,0,0
Aaron Jones,0,0,0,0,0,0,15,130,1,0,3,18,0,0,0,0
Dalvin Cook,0,0,0,0,0,0,32,120,0,0,6,59,0,0,0,0
Jonathan Taylor,0,0,0,0,0,0,13,91,0,0,3,44,1,0,0,0
James Robinson,0,0,0,0,0,0,18,78,1,0,6,30,0,0,0,0
Ty Johnson,0,0,0,0,0,0,22,104,1,0,2,13,0,0,0,0
Chris Carson,0,0,0,0,0,0,13,65,0,0,3,45,1,0,0,0
Adrian Peterson,0,0,0,0,0,0,16,57,2,0,0,0,0,0,0,0
J.D. McKissic,0,0,0,0,0,0,5,8,0,0,10,70,0,0,0,0
Nick Chubb,0,0,0,0,0,0,18,80,1,0,1,26,0,0,0,0
Alfred Morris,0,0,0,0,0,0,8,39,1,0,1,6,1,0,0,0
Alvin Kamara,0,0,0,0,0,0,15,88,1,0,2,9,0,0,0,0
Cam Akers,0,0,0,0,0,0,21,72,1,0,1,22,0,0,0,0
Melvin Gordon,0,0,0,0,0,0,15,131,0,0,1,11,0,0,0,0
Myles Gaskin,0,0,0,0,0,0,21,90,0,0,2,51,0,0,1,0
Darrell Henderson,0,0,0,0,0,0,3,49,1,0,2,25,0,0,0,0
Wayne Gallman,0,0,0,0,0,0,16,135,0,0,0,0,0,0,0,0
J.K. Dobbins,0,0,0,0,0,0,11,71,1,0,0,0,0,0,0,0
Nyheim Hines,0,0,0,0,0,0,6,10,1,0,3,22,0,0,0,0
Ezekiel Elliott,0,0,0,0,0,0,18,77,0,0,4,18,0,0,0,0
Kenyan Drake,0,0,0,0,0,0,10,49,1,0,2,9,0,0,0,0
Devin Singletary,0,0,0,0,0,0,18,61,0,0,3,22,0,0,0,0
Jeremy McNichols,0,0,0,0,0,0,2,2,1,0,3,15,0,0,0,0
David Johnson,0,0,0,0,0,0,10,44,1,0,0,0,0,0,0,0
Damien Harris,0,0,0,0,0,0,16,80,0,0,1,15,0,0,0,0
Austin Ekeler,0,0,0,0,0,0,8,36,0,0,4,32,0,0,0,0
Gus Edwards,0,0,0,0,0,0,7,101,0,0,0,0,0,0,0,0
Duke Johnson,0,0,0,0,0,0,2,8,0,0,6,24,0,0,0,0
Kareem Hunt,0,0,0,0,0,0,14,33,0,0,3,24,0,0,0,0
C.J. Ham,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0
Peyton Barber,0,0,0,0,0,0,14,23,1,0,0,0,0,0,0,0
Jeffery Wilson,0,0,0,0,0,0,7,47,0,0,2,12,0,0,0,0
Kyle Juszczyk,0,0,0,0,0,0,2,5,0,0,1,6,1,0,0,0
Le'Veon Bell,0,0,0,0,0,0,11,40,0,0,2,15,0,0,0,0
Josh Adams,0,0,0,0,0,0,8,74,0,0,0,0,0,0,0,0
Sony Michel,0,0,0,0,0,0,10,35,0,0,1,23,0,0,0,0
Derrick Henry,0,0,0,0,0,0,15,60,0,0,1,9,0,0,1,0
Devontae Booker,0,0,0,0,0,0,16,50,0,0,1,1,0,0,0,0
Kalen Ballage,0,0,0,0,0,0,7,34,0,0,3,5,0,0,0,0
Jamaal Williams,0,0,0,0,0,0,5,26,0,0,2,10,0,0,0,0
Raheem Mostert,0,0,0,0,0,0,9,42,0,0,1,1,0,0,0,0
Chase Edmonds,0,0,0,0,0,0,6,28,0,0,2,15,0,0,0,0
Giovani Bernard,0,0,0,0,0,0,12,30,0,0,2,-1,0,0,0,0
Darrel Williams,0,0,0,0,0,0,6,38,0,0,1,5,0,0,0,0
Ito Smith,0,0,0,0,0,0,8,36,0,0,1,-2,0,0,0,0
Jaylen Samuels,0,0,0,0,0,0,1,1,0,0,3,11,0,0,0,0
Carlos Hyde,0,0,0,0,0,0,2,1,0,0,3,10,0,0,0,0
Malcolm Brown,0,0,0,0,0,0,3,-3,0,0,1,30,0,0,0,0
