Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Travis Kelce,2,1,4,0,0,0,0,0,0,0,105,1416,11,1,1,0
Darren Waller,0,0,0,0,0,0,0,0,0,0,107,1196,9,1,2,0
Logan Thomas,1,1,28,0,0,0,3,5,0,0,72,670,6,0,0,0
Robert Tonyan,0,0,0,0,0,0,0,0,0,0,52,586,11,0,0,0
T.J. Hockenson,0,0,0,0,0,0,1,0,0,0,67,723,6,1,1,0
Mark Andrews,0,0,0,0,0,0,0,0,0,0,58,701,7,0,0,0
Taysom Hill,121,88,928,4,2,0,87,457,8,0,8,98,1,0,5,0
Mike Gesicki,0,0,0,0,0,0,0,0,0,0,53,703,6,0,0,0
Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,45,623,7,0,0,0
Dalton Schultz,0,0,0,0,0,0,0,0,0,0,63,615,4,0,1,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,56,571,6,0,0,0
Noah Fant,0,0,0,0,0,0,0,0,0,0,62,673,3,1,0,0
Hunter Henry,0,0,0,0,0,0,0,0,0,0,60,613,4,0,0,0
Jimmy Graham,0,0,0,0,0,0,0,0,0,0,50,456,8,0,0,0
Eric Ebron,0,0,0,0,0,0,0,0,0,0,56,558,5,1,1,0
Jonnu Smith,0,0,0,0,0,0,2,4,1,0,41,448,8,0,0,0
Evan Engram,0,0,0,0,0,0,6,26,1,0,63,654,1,0,1,0
Jared Cook,0,0,0,0,0,0,0,0,0,0,37,504,7,0,1,0
Tyler Higbee,0,0,0,0,0,0,1,1,0,0,44,521,5,1,0,0
George Kittle,0,0,0,0,0,0,2,17,0,0,48,634,2,0,0,0
Dallas Goedert,0,0,0,0,0,0,0,0,0,0,46,524,3,0,0,0
Austin Hooper,0,0,0,0,0,0,0,0,0,0,46,435,4,0,0,0
Irv Smith,0,0,0,0,0,0,0,0,0,0,30,365,5,1,0,0
Dan Arnold,0,0,0,0,0,0,0,0,0,0,31,438,4,0,1,0
Gerald Everett,0,0,0,0,0,0,1,2,1,0,41,417,1,0,1,0
Anthony Firkser,0,0,0,0,0,0,0,0,0,0,39,387,1,0,0,0
Tyler Eifert,0,0,0,0,0,0,0,0,0,0,36,349,2,0,0,0
Trey Burton,0,0,0,0,0,0,2,3,2,0,28,250,3,0,0,0
Jordan Akins,0,0,0,0,0,0,1,4,0,0,37,403,1,0,0,0
Mo Alie-Cox,0,0,0,0,0,0,0,0,0,0,31,394,2,0,1,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,40,349,1,0,1,0
Zach Ertz,0,0,0,0,0,0,0,0,0,0,36,335,1,1,0,0
Chris Herndon IV,0,0,0,0,0,0,0,0,0,0,31,287,3,0,2,0
Darren Fells,0,0,0,0,0,0,0,0,0,0,21,312,4,0,0,0
Jordan Reed,0,0,0,0,0,0,0,0,0,0,26,231,4,0,0,0
