Player	Att	Cmp	Yds	TD	Int	2Pt.P	Att.R	Yds.R	TD.R	2Pt.R	Rec	Yds.C	TD.C	2Pt.C	FL	TD.F
Mark Andrews	0	0	0	0	0	0	0	0	0	0	5	58	2	0	0	0
Dallas Goedert	0	0	0	0	0	0	0	0	0	0	8	101	1	0	0	0
Noah Fant	0	0	0	0	0	0	0	0	0	0	5	81	1	0	0	0
David Njoku	0	0	0	0	0	0	0	0	0	0	3	50	1	0	0	0
Travis Kelce	0	0	0	0	0	0	0	0	0	0	6	50	1	0	0	0
T.J. Hockenson	0	0	0	0	0	0	0	0	0	0	5	56	1	0	0	0
Logan Thomas	0	0	0	0	0	0	0	0	0	0	4	37	1	0	0	0
Jonnu Smith	0	0	0	0	0	0	0	0	0	0	4	36	1	0	0	0
O.J. Howard	0	0	0	0	0	0	0	0	0	0	4	36	1	0	0	0
Jordan Akins	0	0	0	0	0	0	0	0	0	0	2	39	1	0	0	0
Greg Olsen	0	0	0	0	0	0	0	0	0	0	4	24	1	0	0	0
Jimmy Graham	0	0	0	0	0	0	0	0	0	0	3	25	1	0	0	0
Jared Cook	0	0	0	0	0	0	0	0	0	0	5	80	0	0	0	0
Hunter Henry	0	0	0	0	0	0	0	0	0	0	5	73	0	0	0	0
Zach Ertz	0	0	0	0	0	0	0	0	0	0	3	18	1	0	0	0
MyCole Pruitt	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Darren Waller	0	0	0	0	0	0	0	0	0	0	6	45	0	0	0	0
C.J. Uzomah	0	0	0	0	0	0	0	0	0	0	4	45	0	0	0	0
George Kittle	0	0	0	0	0	0	1	9	0	0	4	44	0	0	0	0
Tyler Higbee	0	0	0	0	0	0	0	0	0	0	3	40	0	0	0	0
Jack Doyle	0	0	0	0	0	0	0	0	0	0	3	49	0	0	0	0
Hayden Hurst	0	0	0	0	0	0	0	0	0	0	3	38	0	0	0	0
Taysom Hill	1	1	38	0	0	0	3	13	0	0	1	14	0	0	0	0
Mike Gesicki	0	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0
Kyle Rudolph	0	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0
Dawson Knox	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0
Ryan Izzo	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0
Chris Herndon IV	0	0	0	0	0	0	0	0	0	0	6	37	0	0	1	0
Dan Arnold	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0
Mo Alie-Cox	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0
Levine Toilolo	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0
Ian Thomas	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0
Kaden Smith	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0
Irv Smith	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0
Dalton Schultz	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0
Jordan Reed	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0
Blake Jarwin	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0
Austin Hooper	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0
Rob Gronkowski	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0
Virgil Green	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0
Darren Fells	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0
Eric Ebron	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0
Josiah Deguara	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0
Jason Witten	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
Nick Vannett	0	0	0	0	0	0	0	0	0	0	1	-6	0	0	0	0
Drew Sample	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
James O'Shaughnessy	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Vance McDonald	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
Chris Manhertz	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
Jacob Hollister	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0
Anthony Firkser	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0
Gerald Everett	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0
Evan Engram	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0
Tyler Eifert	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0
Will Dissly	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0
Jake Butt	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Harrison Bryant	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0
Nick Boyle	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
