Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F,FL,TD
Darren Waller,LV@NYJ,45,0,0,0,0,0,0,0,0,0,0,13,200,2,0,0,0
Taysom Hill,NO@ATL,28,37,27,232,2,0,0,14,83,0,0,0,0,0,0,1,0
Travis Kelce,DEN@KC,27,0,0,0,0,0,0,0,0,0,0,8,136,1,0,0,0
Logan Thomas,WAS@PIT,24,0,0,0,0,0,0,0,0,0,0,9,98,1,0,0,0
Mike Gesicki,CIN@MIA,23,0,0,0,0,0,0,0,0,0,0,9,88,1,0,0,0
Dan Arnold,LA@ARI,20,0,0,0,0,0,0,0,0,0,0,2,61,2,0,0,0
MyCole Pruitt,CLE@TEN,15,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,1
T.J. Hockenson,DET@CHI,15,0,0,0,0,0,0,0,0,0,0,7,84,0,0,0,0
Cole Kmet,DET@CHI,14,0,0,0,0,0,0,0,0,0,0,5,37,1,0,0,0
Robert Tonyan,PHI@GB,13,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0
Eric Ebron,WAS@PIT,13,0,0,0,0,0,0,0,0,0,0,7,68,0,0,0,0
Jordan Reed,BUF@SF,12,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
Dawson Knox,BUF@SF,12,0,0,0,0,0,0,0,0,0,0,4,27,1,0,0,0
Tyler Higbee,LA@ARI,12,0,0,0,0,0,0,0,0,0,0,4,24,1,0,0,0
Drew Sample,CIN@MIA,11,0,0,0,0,0,0,0,0,0,0,7,49,0,0,0,0
Dallas Goedert,PHI@GB,11,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
Jared Cook,NO@ATL,11,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0
Anthony Firkser,CLE@TEN,10,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
Gerald Everett,LA@ARI,10,0,0,0,0,0,0,0,0,0,0,6,44,0,0,0,0
Tyler Eifert,JAX@MIN,10,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0
Noah Fant,DEN@KC,9,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
Dalton Schultz,DAL@BAL,8,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0
James O'Shaughnessy,JAX@MIN,8,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0
Jesse James,DET@CHI,7,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0
Evan Engram,NYG@SEA,7,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
Will Dissly,NYG@SEA,6,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
Charlie Woerner,BUF@SF,5,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
Jacob Hollister,NYG@SEA,5,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Ryan Griffin,LV@NYJ,5,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Zach Ertz,PHI@GB,5,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Mo Alie-Cox,IND@HOU,5,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Donald Parham,NE@LAC,4,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Marcedes Lewis,PHI@GB,4,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0
Austin Hooper,CLE@TEN,4,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Ross Dwelley,BUF@SF,4,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
Adam Trautman,NO@ATL,3,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0
Durham Smythe,CIN@MIA,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Jordan Akins,IND@HOU,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Luke Willson,DAL@BAL,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Nick Vannett,DEN@KC,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
Nick Keizer,DEN@KC,2,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Jack Doyle,IND@HOU,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Tyler Conklin,JAX@MIN,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Trey Burton,IND@HOU,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Kaden Smith,NYG@SEA,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
David Njoku,CLE@TEN,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Ryan Izzo,NE@LAC,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Hayden Hurst,NO@ATL,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Hunter Henry,NE@LAC,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Blake Bell,DAL@BAL,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Stephen Anderson,NE@LAC,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
