Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Jimmy Graham,0,0,0,0,0,0,0,0,0,0,6,60,2,0,0,0
Tyler Kroft,0,0,0,0,0,0,0,0,0,0,4,24,2,0,0,0
Robert Tonyan,0,0,0,0,0,0,0,0,0,0,5,50,1,0,0,0
Eric Ebron,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,0
Travis Kelce,0,0,0,0,0,0,0,0,0,0,6,87,0,0,0,0
Zach Ertz,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0
Mo Alie-Cox,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0
Jonnu Smith,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0
Greg Olsen,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0
Jesse James,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0
Foster Moreau,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,0
Hunter Henry,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0
Kyle Rudolph,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
Jacob Hollister,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
T.J. Hockenson,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0
Noah Fant,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
Dalton Schultz,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Marcedes Lewis,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0
Tyler Higbee,0,0,0,0,0,0,0,0,0,0,2,40,0,1,0,0
Mike Gesicki,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0
Ross Dwelley,0,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0
Logan Thomas,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
Lee Smith,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
O.J. Howard,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
Harrison Bryant,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
Nick Boyle,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0
Jace Sternberger,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Vance McDonald,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
James O'Shaughnessy,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Austin Hooper,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Chris Herndon IV,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Gerald Everett,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Evan Engram,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Mark Andrews,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Jordan Reed,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Demetrius Harris,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
Darrell Daniels,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Jared Cook,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Jordan Akins,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Adam Trautman,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Richard Rodgers,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
MyCole Pruitt,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Tyler Eifert,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Darren Waller,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Kaden Smith,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Will Dissly,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Dan Arnold,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Ian Thomas,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Luke Stocker,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Durham Smythe,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Dallas Goedert,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Cethan Carter,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Jake Butt,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
