Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Davante Adams,0,0,0,0,0,0,0,0,0,0,115,1374,18,0,1,0
Stefon Diggs,0,0,0,0,0,0,1,1,0,0,127,1535,8,0,0,0
Tyreek Hill,0,0,0,0,0,0,13,123,2,0,87,1276,15,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,1,1,0,0,115,1407,6,0,2,0
Calvin Ridley,0,0,0,0,0,0,5,1,0,0,90,1374,9,1,1,0
Justin Jefferson,0,0,0,0,0,0,1,2,0,0,88,1400,7,2,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,83,1303,10,0,1,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,100,1054,10,0,0,0
Allen Robinson,0,0,0,0,0,0,1,-1,0,0,102,1250,6,0,0,0
Adam Thielen,0,0,0,0,0,0,3,15,0,0,74,925,14,1,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,70,1006,13,0,0,0
Keenan Allen,1,0,0,0,0,0,1,-1,0,0,100,992,8,1,2,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,70,1075,11,0,1,0
Robert Woods,0,0,0,0,0,0,24,155,2,0,90,936,6,0,1,0
Amari Cooper,0,0,0,0,0,0,6,14,0,1,92,1114,5,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,81,1150,6,0,0,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,97,831,9,1,1,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,76,978,9,0,0,0
Terry McLaurin,0,0,0,0,0,0,2,30,0,0,87,1118,4,0,1,0
Robby Anderson,0,0,0,0,0,0,4,15,0,0,95,1096,3,1,1,0
Diontae Johnson,0,0,0,0,0,0,3,15,0,0,88,923,7,0,1,0
Chase Claypool,0,0,0,0,0,0,10,16,2,0,62,873,9,0,1,0
D.J. Moore,1,0,0,0,0,0,2,22,0,0,66,1193,4,0,0,0
Cooper Kupp,0,0,0,0,0,0,4,33,0,0,92,974,3,0,1,0
Cole Beasley,1,1,20,1,0,0,0,0,0,0,82,967,4,0,0,0
CeeDee Lamb,0,0,0,0,0,0,10,82,1,1,74,935,5,0,1,0
Curtis Samuel,0,0,0,0,0,0,41,200,2,0,77,851,3,0,0,0
Tee Higgins,0,0,0,0,0,0,5,28,0,0,67,908,6,0,1,0
Corey Davis,0,0,0,0,0,0,0,0,0,0,65,984,5,0,1,0
Tyler Boyd,2,1,16,0,0,0,5,49,0,0,79,841,4,0,0,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,65,840,7,0,0,0
Will Fuller,0,0,0,0,0,0,1,0,0,0,53,879,8,0,0,0
Jarvis Landry,4,4,74,1,0,0,4,10,1,0,72,840,3,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,6,77,2,0,60,748,5,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,48,896,8,0,0,0
Russell Gage,2,1,39,1,0,0,2,9,0,0,72,786,4,0,0,0
Marquise Brown,0,0,0,0,0,0,1,1,0,0,58,769,8,0,0,0
Jamison Crowder,1,1,43,1,0,0,1,14,0,0,59,699,6,0,0,0
Michael Gallup,0,0,0,0,0,0,0,0,0,0,59,843,5,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,63,793,4,0,0,0
T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,56,762,5,1,0,0
Emmanuel Sanders,0,0,0,0,0,0,1,12,0,0,61,726,5,0,0,0
Sterling Shepard,0,0,0,0,0,0,6,49,1,0,66,656,3,1,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,51,742,6,0,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,52,856,3,1,0,0
Laviska Shenault,0,0,0,0,0,0,18,91,0,0,58,600,5,0,0,0
D.J. Chark,0,0,0,0,0,0,0,0,0,0,53,706,5,0,0,0
Mike Williams,0,0,0,0,0,0,1,1,0,0,48,756,5,0,0,0
Darnell Mooney,0,0,0,0,0,0,4,20,0,0,61,631,4,1,0,0
Julio Jones,0,0,0,0,0,0,0,0,0,0,51,771,3,0,0,0
Keelan Cole,0,0,0,0,0,0,1,2,0,0,55,642,5,0,0,0
Christian Kirk,0,0,0,0,0,0,2,3,0,0,48,621,6,0,0,0
Jakobi Meyers,2,2,43,2,0,0,2,9,0,0,59,729,0,1,1,0
Darius Slayton,0,0,0,0,0,0,2,-1,0,0,50,751,3,0,1,0
Marquez Valdes-Scantling,0,0,0,0,0,0,4,13,0,0,33,690,6,0,1,0
Zach Pascal,1,0,0,0,0,0,0,0,0,0,44,629,5,0,0,0
Gabriel Davis,0,0,0,0,0,0,1,0,0,0,35,599,7,0,0,0
Hunter Renfrow,0,0,0,0,0,0,0,0,0,0,56,656,2,0,1,0
Greg Ward,1,1,15,0,0,0,2,-4,0,0,53,419,6,1,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,49,667,2,1,0,0
Josh Reynolds,0,0,0,0,0,0,1,5,0,0,52,618,2,0,1,0
Mecole Hardman,0,0,0,0,0,0,4,31,0,0,41,560,4,1,2,0
Rashard Higgins,0,0,0,0,0,0,0,0,0,0,37,599,4,0,0,0
Antonio Brown,0,0,0,0,0,0,2,-2,0,0,45,483,4,0,0,0
David Moore,0,0,0,0,0,0,8,61,0,0,35,417,6,0,0,0
