Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Cole Beasley,0,0,0,0,0,0,0,0,0,0,11,109,1,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,7,127,1,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,10,93,1,0,0,0
Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,4,149,1,0,0,0
Willie Snead,0,0,0,0,0,0,0,0,0,0,5,64,2,0,0,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,8,96,1,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,6,116,1,0,0,0
Tee Higgins,0,0,0,0,0,0,0,0,0,0,7,115,1,0,1,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,9,77,1,0,0,0
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,8,135,0,0,0,0
Chase Claypool,0,0,0,0,0,0,2,-3,0,0,4,56,2,0,0,0
Adam Thielen,0,0,0,0,0,0,0,0,0,0,4,43,2,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,1,-8,0,0,7,75,1,0,0,0
Michael Pittman,0,0,0,0,0,0,1,21,0,0,7,101,0,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,4,96,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,6,77,1,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,8,66,1,0,1,0
Josh Reynolds,0,0,0,0,0,0,0,0,0,0,8,94,0,0,0,0
Terry McLaurin,0,0,0,0,0,0,1,27,0,0,7,95,0,0,1,0
Jakobi Meyers,1,1,24,1,0,0,0,0,0,0,5,59,0,0,0,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,6,92,0,0,0,0
Keelan Cole,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
Darius Slayton,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0
Marvin Hall,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0
Jakeem Grant,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
John Brown,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0
Antonio Brown,0,0,0,0,0,0,1,-3,0,0,7,69,0,0,0,0
DaeSean Hamilton,0,0,0,0,0,0,0,0,0,0,4,33,1,0,1,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0
Isaiah Wright,0,0,0,0,0,0,0,0,0,0,6,59,0,0,0,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
Corey Davis,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
Sterling Shepard,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
Cooper Kupp,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0
Tyler Boyd,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0
Steven Sims,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
Cam Sims,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0
KJ Hamler,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0
D.J. Chark,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0
Robert Woods,0,0,0,0,0,0,1,3,0,0,5,33,0,0,0,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
Jalen Reagor,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0
Chris Conley,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Zach Pascal,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
Isaiah McKenzie,1,1,12,1,0,0,0,0,0,0,1,2,0,0,0,0
Rashard Higgins,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Devin Duvernay,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
Randall Cobb,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Golden Tate,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
Freddie Swain,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Henry Ruggs,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Cordarrelle Patterson,0,0,0,0,0,0,12,30,0,0,2,19,0,0,0,0
Christian Kirk,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
Jalen Guyton,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
Robby Anderson,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0
Mike Williams,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
James Washington,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
Hunter Renfrow,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Jarvis Landry,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Deonte Harris,0,0,0,0,0,0,0,0,0,0,4,24,0,0,1,0
Michael Thomas,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Auden Tate,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Malcolm Perry,0,0,0,0,0,0,1,6,0,0,2,21,0,0,0,0
Anthony Miller,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Richie James,0,0,0,0,0,0,0,0,0,0,3,26,0,0,1,0
Danny Amendola,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0
Curtis Samuel,0,0,0,0,0,0,3,4,0,0,3,8,0,0,0,0
Donovan Peoples-Jones,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
David Moore,0,0,0,0,0,0,1,2,0,0,2,16,0,0,0,0
Taysom Hill,0,0,0,0,0,0,8,45,0,0,0,0,0,0,1,0
De'Michael Harris,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Marquise Brown,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Chad Beebe,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Darnell Mooney,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Ray Ray McCloud,0,0,0,0,0,0,1,-1,0,0,2,4,0,0,0,0
Van Jefferson,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Andy Isabella,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Bryan Edwards,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Quintez Cephus,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Cameron Batson,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Kenny Stills,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Scott Miller,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Austin Mack,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Zay Jones,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Mack Hollins,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Travis Fulgham,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Dwayne Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
