Player	Att	Cmp	Yds	TD	Int	2Pt.P	Att.R	Yds.R	TD.R	2Pt.R	Rec	Yds.C	TD.C	2Pt.C	FL	TD.F
Davante Adams	0	0	0	0	0	0	0	0	0	0	11	142	3	0	0	0
Stefon Diggs	0	0	0	0	0	0	0	0	0	0	9	145	3	0	0	0
Mike Evans	0	0	0	0	0	0	0	0	0	0	10	181	2	0	0	0
Michael Gallup	0	0	0	0	0	0	0	0	0	0	6	121	2	0	0	0
Jamison Crowder	1	1	43	1	0	0	1	14	0	0	7	92	1	0	0	0
Brandin Cooks	0	0	0	0	0	0	0	0	0	0	7	141	1	0	0	0
Nelson Agholor	0	0	0	0	0	0	0	0	0	0	5	155	1	0	0	0
JuJu Smith-Schuster	0	0	0	0	0	0	0	0	0	0	9	96	1	0	0	0
Adam Thielen	0	0	0	0	0	0	0	0	0	0	8	97	1	0	0	0
Sterling Shepard	0	0	0	0	0	0	0	0	0	0	9	77	1	0	0	0
CeeDee Lamb	0	0	0	0	0	0	1	19	1	0	3	65	1	0	0	0
Diontae Johnson	0	0	0	0	0	0	1	2	0	0	8	74	1	0	0	0
Tee Higgins	0	0	0	0	0	0	0	0	0	0	6	99	1	0	0	0
Curtis Samuel	0	0	0	0	0	0	7	52	0	0	5	106	0	0	0	0
Allen Robinson	0	0	0	0	0	0	0	0	0	0	10	103	0	0	0	0
Chris Godwin	0	0	0	0	0	0	0	0	0	0	5	84	1	0	0	0
Calvin Ridley	0	0	0	0	0	0	1	-7	0	0	5	130	0	0	0	0
Amari Cooper	0	0	0	0	0	0	0	0	0	0	4	121	0	0	0	0
D.J. Chark	0	0	0	0	0	0	0	0	0	0	4	62	1	0	0	0
Robby Anderson	0	0	0	0	0	0	0	0	0	0	7	39	1	0	0	0
Laviska Shenault	0	0	0	0	0	0	0	0	0	0	5	48	1	0	0	0
Zach Pascal	0	0	0	0	0	0	0	0	0	0	3	64	1	0	0	0
DeSean Jackson	0	0	0	0	0	0	0	0	0	0	1	81	1	0	0	0
Braxton Berrios	0	0	0	0	0	0	0	0	0	0	3	60	1	0	0	0
Cooper Kupp	0	0	0	0	0	0	0	0	0	0	8	66	0	0	0	0
Christian Kirk	0	0	0	0	0	0	0	0	0	0	7	76	0	0	0	0
Justin Jefferson	0	0	0	0	0	0	0	0	0	0	6	85	0	0	0	0
Alex Erickson	1	0	0	0	0	0	0	0	0	0	6	88	0	0	0	0
Emmanuel Sanders	0	0	0	0	0	0	1	12	0	0	4	83	0	0	0	0
Antonio Brown	0	0	0	0	0	0	0	0	0	0	4	35	1	0	0	0
Josh Reynolds	0	0	0	0	0	0	1	5	0	0	6	65	0	0	0	0
Jerry Jeudy	0	0	0	0	0	0	0	0	0	0	6	61	0	0	0	0
DeAndre Hopkins	0	0	0	0	0	0	0	0	0	0	8	48	0	0	0	0
DaeSean Hamilton	0	0	0	0	0	0	0	0	0	0	5	77	0	0	0	0
Marquise Brown	0	0	0	0	0	0	0	0	0	0	4	25	1	0	0	0
D.K. Metcalf	0	0	0	0	0	0	0	0	0	0	6	59	0	0	0	0
Ja'Marcus Bradley	0	0	0	0	0	0	0	0	0	0	5	60	0	0	0	0
Demarcus Robinson	0	0	0	0	0	0	0	0	0	0	2	29	1	0	0	0
Tyreek Hill	0	0	0	0	0	0	0	0	0	0	4	65	0	0	0	0
A.J. Green	0	0	0	0	0	0	0	0	0	0	4	64	0	0	0	0
Keke Coutee	0	0	0	0	0	0	0	0	0	0	5	54	0	0	0	0
Mike Williams	0	0	0	0	0	0	0	0	0	0	4	54	0	0	0	0
Laquon Treadwell	0	0	0	0	0	0	0	0	0	0	2	11	1	0	0	0
Equanimeous St. Brown	0	0	0	0	0	0	0	0	0	0	1	21	1	0	0	0
Cam Sims	0	0	0	0	0	0	0	0	0	0	3	63	0	0	0	0
